,Sentence
30,"00191 00190க்கப்0133 00188 00189்0107 , 00192 0049 00193 00194ங்0120010155 00195012000 00196 ரூ 5 00847 00116ாக 00129 00183 மன்மோகன் சிங் 00197ய008 00198்ற 00028 00199க் 00200த்த008 00201க்கப்0082 ."
31,"00202 , எம்பி0010120010155 00188த்த000 ரூ 16 00847த்த்0008 ரூ 80 008470154 00203ி 00129 00060ம் 0156 00204 00205க் 00206 00207 00031021 00126019006 ."
32,00512000 00029 00208ற்கவ்0101 .
33,00209 00210 00198்ற 00028 00199க் 00200த்த008 எம்பிக்012ின் 00188த்த000 ரூ 50 008470154 00203 00201க்கப்0082 .
34,00512ற்001 எம்பிக்012008 00084 00211 00212 00178த்த017034 .
35,"00188 00189 0034 00213 00214 பிரணாப் முகர்ஜிய000 பாஜக , 00215 00217 , சமாஜவாதி 0049 00216 00217 00180012 00218ய்0102 00219த்த017034 ."
36,00220இவ்விவகாரத்தில் 00029 00221 00222 00006025027 0156 பிரணாப் முகர்ஜி 00223 000090210006 .
37,0131 00112ய008 00187 ரூ 10 00847 00188த்த000 00203 00199க் 00200த்த008 00201க்கப்00880080 .
38,திருநெல்வேலி அண்ணா 00224த் 00225 காளியப்பன் 00226 அதிமுக 000610138 00227த் 0018001380155 ஜெயலலிதாவ000 00219006ப் 00228007029 .
39,00229இச்சந்திப்பின்போது 00225 காளியப்பன007 00230ய்0138 00231 000740190006 .
40,00512 00232 002330155 00229 0103 அதிமுக 0019 00013ப்00880115 00234008 00178க்கப்00880080 .
41,திருச்செந்தூர் 00235 சுப்பிரமணியசுவாமி 00236008 00237த் 00238 00226 00239த்த்0107 00240020006 .
42,00238இத்திருவிழா 00241ந்து 12 00172ட்012 00198014006 .
43,00238 00242 001720155 00226 00243 1 00244001 00236 00245க்கப்0082 .
44,1.30 00244001 00246 00247 00198்ற006 .
45,2 00244001 00248 00249 00250 00198்ற006 .
46,01106ன000த் 0012 00251 00252 00253ங்012 00198்ற006 .
47,"00243 4 00244001 002360008 00254ப் 00255008 00153006 00256 00257 9 00219012 0067 00258 00259 00021ண்டு 00074ரப்0090 , 00243 5.20 00244001 00260ங்012 00261 , 00262ங்012 00263 , 00264012008 00265 00266த்த்0107 , 00236008 00010ள 00267 00256 00268த்த008 , சிவாச்சாரியர்012005 00237த் 00238 00269ப்0082 ."
48,"இங்கிலாந்து001 0069 00270ய008 பாகிஸ்தான் 00280 00271012 00272த்த008 00273்டத்0112 00166ய 00074ந்த005 , 00574012001 00274 00275 00276க்க 00060ம் 0156 இங்கிலாந்து 00277ய007 00278 00279 ஆலன் லாம்ப் 00062 00041021ுள்ள029 ."
49,"00026 00280ட008 00281001 00282க் 00283028006 0128 00284ிய லாம்ப் , 0129 00271 0109 00272த்த008 00273்டது 00166ய 00074ந்த005 00574ு001 00274 0014 00280 00285த் 00286க்க 00060ம் 00287ற029 ."
50,"00182 00288க்க 00289ந்த 00290 00291 00213ய000 00292ில் 00208ற்கத் 00293 00294ி , 00295 00296வத்0154 00190த்த பாகிஸ்தான் , 00297 0116 00213 00298ய000 00299யாக 00296ள028மல் 00216 00015012 00300 0084 00208ற்க 003010210080 ."
51,பாகிஸ்தான008 00216 00015012 00300ய007 00302 00206க்012 00290 00291 00222012008 00303ி 00018035017 .
52,00304 ஐநா 00300 0084 00213 00298ய000 00288க்கும் 0142 00182வு001 00305 00306ிய்0044 0156 0151 00015்ட007 00307த் 00067 00308 அப்துல் பாசித் 00178021029 .
53,பாகிஸ்தான007 00309ப்0150 0131 00030 00006க்கப் 00007்டத்0154 00574 00284007029 .
54,இலங்கைய008 00198்ற 00310 00280 00241007 00311 00312 00313ந்தத000த் 0012 மகேந்திர சிங் தோனி 00197ய0080155 00182 00280 00277 00226 00015 00058020006 .
55,இலங்கைய்0008 00182 00271012 01151ும் 00226 00314 சென்னை 00074ந்த017034 .
56,00295 கேப்டன் தோனிய000த்0113 01151ும் தங்கள் 00315 00316ு001ப் 00317ுச் 00318017்ற017034 .
57,"சென்னை சூப்பர் கிங்ஸ் 00277ய007 கேப்டன்01270138 00010ள தோனி , சென்னைய008 00319 00320 ஐபிஎல் 00277 0019 00321 00031யப்00880115 00322 00323வ008 00324040 00021031029 0156 00325க்கப் 00007014006 ."
58,00182வு001 0069 00270ய007 0125 800 00326 00327012000 00328ிய 00292 00280 00271 0114 00329ய000ப் 00059்ற இலங்கை 00271 முத்தையா 003300138 0116 00323வ008 00331க்க012600830112 00305012 00178021017 .
59,வெனிசூலா 00332 00169ப் 00333001 003340155 ஹெலிகாப்டர் 00892 00335 00336 0094 00337னத008 01106008 0085 10 002710120138 00338ந்தத்0154 0151 00015்டு 00339 ஹியுகோ சாவேஸ் 00178021029 .
60,00340த் 00341்0155 எமை-17 ஹெலிகாப்டர் 00342த்த்0008 00317 00343 00344ங்0120010023 00337னது0025 00345 00198்று 00018வத்0154 சாவேஸ் 00346ய008 00228ம் 0125 00178021029 .
61,00347 அபூர் 00086த்த008 00348 00349008 00273்0220115 00350000த் 00351ம் 00352ய008 00273்0220085 0125 0116 ஹெலிகாப்டர் 00337னத்0154 00332 00169ப் 00333ய007 00180 லூயிஸ் ஆல்ஃப்ரடோ 00178021029 .
62,கங்க000ய000 00353ிய 65 00354012 00355ப்0090 00041்டத்0154 00356 00357்டு 00358 001780210080 .
63,"00359 28-ம் 00360 கான்பூர் 00710 00321 00031021 00126ந்த கங்கை 00361்று 00362ப் 00363 00364ப் 00365008 00366ற்றுப் 00228ிய 00028 00214 ஜெய்ராம் ரமேஷ் , கங்க000ய000 00367வத008 00356 00368க் 00369்டு 00358த்த007 003700025 003710210006 ."
64,"0131 00112ய008 கங்கை 00372ய000 00367 00222012 00006க்கப்0090 00018வத்01270138 , 01106000 00353ி 00074ந்த 65 00354012 00355ப்0090 00041்டத்01270138 00356 00357்டு 00358 001780210080 ."
65,00357்டு 00358 00373028மல் 00010ள006 0114 00028 00214007 00020008 தங்கள006 00067001 00374 00100லை 0156 00356 00357்டு 00358 00375 00122 ராதேஷ்யாம் 00178021029 .
66,பாகிஸ்தான் 00105ய008 00376க்க 00007்ப0220085 100 00182 00377012 00226 00378 00031யப் 00007்ட017034 .
67,00106க் 00253த்த000 00379ிய்0138 00574கள் 00105ய008 00376க்கப்00880047 0103 00380 00284ப்பட்ட 00112ய008 00574கள் 00381க்கப்00880047 .
68,"00187 , 342 00377012 00382 00210 00378 00031யப் 00007031036 0103 லாந்தி 00383ய007 00384 00385 ஷாகிர் ஷா 00178021029 ."
69,00386 00387008 00388 00160க்கும் 00377012 00336 00379ி 00074ந்த 00389008 00390 003910080138 00392 00031யப் 00007035ன034 0065 00185த் 00186்க006 .
70,தான் 00084 00393 0156 ஐந்த008 00084 00394 00395வத்0154 00396த்தில் 00397யான 00020க் 001810025 00398 00399வத்0101 0156 0151 00015்ட007 00339 பராக் ஒபாமா 00178021029 .
71,ஒபாமா 00393 0156 18 00400 00054 00395வத்0154 பியு 00401 00402 00403இம்மாதத் 00404த்த008 00020க் 00181 00013்0220022 .
72,"00405 2009-ல் 11 00406 0130 00395ியத்01270138 , 01106 00407 00408021008301270138 0116 00020க் 00181008 00178க்கப்00880022 ."
73,"00187 ஒபாமா 00409 0156 00209 00104 48 00406 00395ியத்01270138 , 01106 00407 34 00410 0110 00411040 00041்டத்01270138 01106008 00178க்கப்0082 ."
74,"தன006 00412 0021 00413த்து001 00414 00178த்த ஒபாமா , 00512 0106 004150120010154 தான் 00416 00398ப் 00399வத்0101 00287ற029 ."
75,00272ப் 00380008 00417ிய்0115 00280 00271012000 லண்டன் 00418 00392 00031ய 00133036 0156 பாகிஸ்தான் 00280 00358 00122 001780210040 .
76,"ஸ்பாட் ஃபிக்சிங் 00419ம் 00420 00421012000 00422யே 00301க்கும் 00281ய011 00011டையதாக 00423 00424ப்00880011 பாகிஸ்தான் 00280 00277த் 00180 சல்மான் பட் , முகமது ஆசிப் , முகமது அமீர் 00047000 ஸ்காட்லாந்து யார்டு 00418 இரண்டாவது 00163யாக 00226 00425க்கவ்0047 ."
77,00426 00574கள் 00392 00031யப்01080059 0128 00173ப்0082 .
78,"0131 00112ய008 , 00312 00427012009 00228ிய பாகிஸ்தான் 00280 00277ய007 00428 யாவர் சயீத் , "" 00380008 00417ிய் 00126க்கும் மூன்று 00271012000ய்0138 லண்டன் 00429த்த008 00153006 பாகிஸ்தான் 00280 00358 00122012 0045 00425ப்பத்0154 00126019006 ."
79,"00297 ஸ்காட்லாந்து யார்டு 004180138 இரண்டாவது 00163யாக 00425க்கவ்0047 "" 00287ற029 ."
80,"00430 00431 யார் 0079 ஸ்காட்லாந்து யார்டு 00418 00432வ்0101 0124 001780210011 00574 , 00271012 0019 00345ய000 00433வதற்0250154 00434 00435 00436க்கப்0088001801270138 00284007029 ."
81,00437 யாரும் 00392 00031யப் 00007ம் 00112ய008 00100லை 0103 00574 00187 00178021 00126014029 .
82,அதிமுக 00044ச் 00045 ஜெயலலிதா 00438 கொடநாடு 00441 00074019029 .
83,"சென்னைய்0008 00438 00068 00001 0097 கோவை 00074ந்த ஜெயலலிதா , 00439 00440 0097 கொடநாடு 00441டிற்001 00438 00320 00074019029 ."
84,"00018ம் 00442ய008 நீலகிரி 00443 00336ய்0155 00444ய008 00443 அதிமுக 00445 செல்வராஜ் , அண்ணா 00446 00086ச் 00445 ஜெயராமன் 00447 00448ற்ற017034 ."
85,00449 கொட்டகம்பை 00072ய008 கொணவக்கரை 00450த் 00180 வீரமுத்து 00197ய008 00451 00452ான 00453 00288த்த017034 .
86,"00241ந்து , அரவேணு 00072ய008 சக்கத்தா கணேஷ் 00197ய0080138 , டானிங்டன் 00072ய008 சிடிசி ஜப்பார் 00197ய0080138 00453 00288க்கப்0082 ."
87,"00295 எஸ்.கைகாட்டி , குருக்கட்டி , ஈளாடா 00033ிய 000720120080138 00453 00288க்கப்0082 ."
88,"கொடநாடு 00441 00454ு001 00074ந்த ஜெயலலிதாவ000 00278 00214 ஏ.கே.செல்வராஜ் , அதிமுக 00455012 எல்.மணி , கே.கே.மாதன் 00447 00448ற்ற017034 ."
89,00456ம் 00288க்கப்0133 00453012008 00457 00288த்த 00458012000 ஜெயலலிதா 00059்றுக் 00021ண022029 .
90,ஜெயலலிதா கொடநாடு 00441ட008 40 00172ட்012 0152 00459ிய்0037 00022 00151 00352012000 00460ள 00126ப்பத்0154 அதிமுக 00461ங்012 00178021017 .
91,00462 00029007 00035 00197ச் 000450154 எஸ்.மாலதி 00438 ( 00359 31 ) 00463ற்றுக் 00021ண022029 .
92,"00197ச் 000450154 00126ந்த கே.எஸ்.ஸ்ரீபதி 00464்றத000த் 0012 , மாலதி 0062 00465000 00208ற்ற்0040 ."
93,மாலதி 00466 00467006 00018ம் 00468ப் 00352 0049 00469 00470 00471 00574 01230160 00116 00465ாக 00288க்கப்00880080 .
94,"00035 00197ச் 000450154 00436க்கப் 00007்டதற்001 தன006 00472012000த் 00178006 00114ி044 , 00465012000 மாலதிய் 0123 00473021029 ஸ்ரீபதி ."
95,1977-ம் 00104 ஐ.ஏ.எஸ். 00277யைச் 00474ந்021050் மாலதி .
96,"தஞ்ச000ய000 00475 0110 00021ண்ட 00574 , 1954-ம் 00104 00174019029 ."
97,"தமிழ் , 00476 , இந்தி , 00088 00033ிய 00087012008 00228வ்0138 , 00477வ்0138 00166ந்021050் ."
98,"எம்.எஸ்ஸி. , 00478 00479000 சென்னைப் 00224த்த008 00195த்த மாலதி , பிரிட்டன008 00213 0046 00480ப் 00479000ப் 00195021029 ."
99,00481ய008 00298 004820154 ( 00483 ) தன006 ஐ.ஏ.எஸ். 00352ய000த் 00240007029 .
100,"00484 00104008 00384 0048201270138 , 00213 0049 00044த் 00067012008 00485 0049 00486ச் 0004501270138 00471 00467021029 ."
101,1987-ம் 00104008 வேலூர் 00443 004820154 00303007029 .
102,"1992-ம் 00104008 00487 0049 00483த் 00067 0048801270138 , 00489 00104 00490 00452ச் 0004501270138 00465 00467021029 ."
103,1996-ம் 00104008 00491 00364 0049 00492 00129ல் 00067 000450154 00126019029 .
104,2001-ம் 00104்0008 00361 00104012001 00150 0049 00493 00067 00452 004940111 00303007029 .
105,2006-ம் 00104007 00495ய008 00496ச் 00045 00465 00467021029 .
106,00209 00343 00403ங்012001 00468ப் 00352 0049 00497 004940154 00436க்கப்0050 .
107,"00498 , 00197ச் 000450154 00438 00463ற்றுக் 00021ண022029 ."
108,00209 அதிமுக 00499ய008 லட்சுமி பிரானேஷ் 00197ச் 000450154 00126019029 .
109,00574ு001ப் 0098 இரண்டாவது 00500 00197ச் 00501 0114 00329ய000 மாலதி 00059்றுள்ள029 .
110,2008 00502 1-ம் 00360 00197ச் 000450154 00463ற்ற029 கே.எஸ். ஸ்ரீபதி .
111,00503யாக இரண்டு 00104012001ப் 0098 00504 00059்றுள்ள029 .
112,கோவைய008 00198்ற 00505 00506்டுப் 003520120010154 00574ு001ப் 00471 00507 00129ப்0082 00185த் 00186்க006 .
113,00504 00059்ற 00295 00427012009 00574 00284ியத்0109 : .
114,00029007 00508 00509ய005 00142த் தமிழ்ச் 00505 00506 00165ி 00510க்கப்0082 .
115,0131 00205ப் 00352ய008 நான்0138 00273்டது 00197ச் 000450154 நான் 00126ந்த 00253த்த008 00511ய்0110 00173014013 00287ற029 கே.எஸ்.ஸ்ரீபதி .
116,"00197ச் 00045 00471ய்0008 00504 00059்ற0050138 , 00086 00305 004940154 கே.எஸ்.ஸ்ரீபதி 00436க்கக் 00283ம் 0124 00166014006 ."
117,00512ற்கான 00513000 00514 பர்னாலா 00515008 00013 00010ளத்0154 00197ச் 00516 00461ங்012 00178021017 .
118,00086 00305 004940111 00471 00467006 00074ந்த ராமகிருஷ்ணன் 00438 00504 00059்ற029 .
119,"00471 00507 00253 00517 00059வதற்001 0077 ஸ்ரீபதி 00504 00059்ற்0020 , 00086 00305 00494 00471001 00574 00436க்கப் 00007வதற்0250155 00518012 004080210086 ."
120,"டிஜிபி , 00197ச் 004450154 00500012 00462 00029007 00197ச் 00045 0049 00519 00067 00488 0156 இரண்டு 00022 004650120080138 00500012 00436க்கப்00880047 ."
121,"00197ச் 000450154 எஸ்.மாலதிய்0138 , போலீஸ் டி.ஜி.பி.ய்0154 லத்திகா சரண்0138 00010ளனர் ."
122,00029 00364த்த007 00022ான 0131 இரண்டு 00520 004710120080138 00500012 00436க்கப்0090 00126ப்பது 00185த் 00186்க006 .
123,முல்லைப் பெரியாறு 00521ய000 00522த்த005 00523 00524012 00017ம் .
124,00126 00086 00525008 00526 00527000 00528ம் 0103 மதிமுக 00044ச் 00445 வைகோ 00284007029 .
125,"கேரளஅரசு பெரியாறு 00361்று001 0100 00035 00521 00098 00030 00031006 , 380 00773 00529 000310210080 ."
126,"முல்லைப் பெரியாறு 00521 00530 00151 00531 00532 00345ய008 00126க்கும் 0125 , 00533 00029 00534 0153 00535த்த007 00513000 005360154 00537006 00035 00521 00098வதற்0250155 00509012000 00006006 00018014006 ."
127,00530இப்பிரச்னை 00011ான 00538000 00462 00029 00163யாக 00165ாத 00539த்த005 00462த்து001 00540 00017்0220080 .
128,"00466 00541 00542த் 00543 00462த்து001 005440154 00126ந்த 00112ய008 , 00151 00531 00532ு001 00080வதற்001 00008 கருணாநிதிய007 00099ய007 005450080144 00462 00029 0019 00546ான 00434 00547 00548 00129ிய்0040 ."
129,"00099 0060 00110த்த008 00052 00031006 00114ி044 , 00035 00521 00098031032 0103 00533 00029 00190014006 ."
130,00521ய000 00522ப்பது 0130 கேரளத்த007 00549 .
131,01106ற்0010155 00089 003210120138 00198்று 00018014006 .
132,0131 00521 00522க்கப் 00007்ட005 00550 00443ங்012008 2 00731த்து 17 00551 00003ங்012001 00552 00553க்க 00007்பட027 .
133,2 00773 00054ு001 00492 00145க்காது .
134,00426 00017க் 00283ிய 00540 00126 00086ங்012ுக்க்0138 0130 0076 கேரளம் 00554 00060ம் .
135,00521ய000 00522த்த005 00137 00524012 00555ாக 00126025027 .
136,முல்லைப்பெரியாறு 00530ய008 00556001 00462 00029007 00557 0130 0075 00539 .
137,"00426 , 00462த்த007 00558ரங்012001 00169் 0122 00559 00560014006 ."
138,00018ம் செப்.15-ம் 00360 அண்ணா 00174ந்த 00319 காஞ்சிபுரத்த008 00506்0154 00165 00030 00031021 00010ள032 .
139,00561 00562 00563்ற008 00526 00564த்த000 0131 00506 00528ம் .
140,0131 00506்ட008 00565 00566 00567012 00568008 00366ற்க 00060ம் 0156 00569 00041021 00010ள032 00287ற029 வைகோ .
141,இலங்கைய008 00570ின005 00553க்கப்0090 00079 00571012008 00459ிய்0115 தமிழர்012001 00182 00089 00298012000ய்0138 00031ய027 0103 00182 00307த் 00067ச் 00445 நிருபமா ராவ் 00572 00284007029 .
142,"இலங்கை 00318ன்ற்0115 நிருபமா ராவ் , 00573 00079 00571012008 00459ிய்0115 தமிழர்012000ச் 00219006 00574012007 00411012000க் 00164022றி019029 ."
143,வவுனியாவ008 0115 00571000 00574 00438 00575022029 .
144,"00576 00054009 00411 , 00577012000 00164044021 00166040 00021ண022029 ."
145,""" எங்கள005 00578 உங்012001 00579 நாங்கள் 00580ாக 00010ள032 ; 00581 00582ச் 00031031032 0103 00583 00054 01230138 00079 00571012008 00010ள தமிழர்012009 00574 00572 00284007029 ."
146,கொழும்ப்0008 00001 0097 வன்னி 00584 00585த்து001ச் 00318ன்ற 00574 00295 00439 00440 0097 வவுனியாவு001 00586006ச் 00318லப்0050 .
147,செட்டிகுளத்த008 00010ள 00571000 00574 00575022029 .
148,00587 ஓமந்தை 0114 00110த்த008 00010ள 00378ப் 00588012007 3 00589 00590012000 00574 00591021029 .
149,"00592க்காத கண்ணி 00592012 , 00593012000 இலங்கை 00584 00122012 நிருபமாவ் 0123 00223 00594த்த017034 ."
150,00072ய008 00595 00596 00031யப்00880115 தமிழர்012000ச் 00219006 00574012001 00597 00598ங்012000ய்0138 00114்டு 00599ப் 00600012000ய்0138 00574 00129007029 .
151,00295 வவுனியாவ008 00010ள 00029 00601ய் 0107 00574 00602 00165007029 .
152,தமிழர்012000 00574கள006 00315 00110ங்012008 00603 00604வது 00170138 00079 00571012008 00010ள தமிழர்0120010138 00583 00054ு0010138 00055 00605012000 00031006 00606ப்பது 00170138 00029ப் 00601ய் 0107 00574 00607021029 .
153,00079 00571012008 00608ம் தமிழர்012001த் 00609 இலங்கை 00029 00031006 00610ம் 0103 00574 00611 00178021029 .
154,00574011 இலங்கை0010155 00182த் 00612 அசோக் காந்தா 00384த் 00612 விக்ரம் மிஸ்ரி 0049 இலங்கை 001220120138 00318017்ற017034 .
155,00295 00613012005 00614006 00153க்கப்00880085 கண்ணி 00592012000 00615ம் 00352012000 00574 00575022029 .
156,கண்ணி 00592012000 00615ம் 00352ய008 00182வ000ச் 0056 7 00206க்012 00303ி 00018035017 .
157,"கண்ணி 00592012000 00615ிய 00295ே தமிழர்012000 00603 00604 00510ய027 0103 00284ி , கண்ணி 00592012000 00615ி 00018014006 இலங்கை 00029 ."
158,"நிருபமா கொழும்பு 00318வதற்001 00616 , 00587ப் 00072ய008 முல்லைத் 006170010138 00618ப் 00072ய008 திரிகோணமலை0010138 00012 00318014029 ."
159,கொழும்பு 00058ியவ்0107 00012 00320 தமிழ் எம்.பி.க்012 0049 தமிழர் 00565த் 001800120107 00574 00602 00031031029 0103 00166014006 .
160,ராஜபட்சவ்0107 00229 : .
161,00619 இலங்கை 00339 ராஜபட்ச 0049 00307 00214 ஜி.எல். பெரிஸ்ûஸ 00219014029 .
162,தமிழர்0120010155 00291ப் 00352012 0049 00595 005960010154 00182 00466 | 500 00773 00620 00621ி0210080 .
163,00622 00462 00029 00623த்த 2.5 00731 00624 00291 00625டு012000ய்0138 00182 00129ி 00010ள006 .
164,"005120113 00626ங்012 , 00597 00598ங்012 00085்ட 2500 00627 டன் 00291ப் 006000120138 00466 00129ப்00880086 ."
165,00587 0049 00618ப் 000720120010154 55 00628012000 00182 00129ிய்0080 .
166,00396த்தில் 4 00731 00629 00630012000ய்0138 00182 00129020006 .
167,தமிழர்012ின் 00631ந்த 00114012000 00632க்க 0131 00629 00630012 00129ப்00880086 .
168,00187 00587 0049 00618ப் 00072ய008 தமிழர்0120010154 50 00847 00114012000 00098ிக் 000901270138 00182 00621ி0210080 .
169,"00622 , 00633 00618ப் 00072ய008 00302 00019த் 00036ங்012000 00182 00038ி 00018014006 ."
170,"00634 00635 00027ப்பது , 00636 , 00637 00402ங்012 , 00638 00639012 00640 00098ம் 00352012008 00182 00273்0220080 ."
171,00146வு001ச் 00318ன்ற பாகிஸ்தான் 00584 00122012 00350000 00001த்த்0008 00641ி 00146 00122012 00642யான 00163ய008 00345 00460ண்டத்0154 00643012 00155ிய் 00010ளன .
172,00146வ008 00198ம் 00584 00506 00892008 00324040 00021வதற்0250154 பாகிஸ்தான000ச் 0056 9 00584 00520 00122012 00644்டு001ச் 00318ன்ற்0001 .
173,00312 00314 வாஷிங்டன008 0037 00506 00198ம் தம்பா 00645ு001 00146 ஏர்வேஸ் 00001த்த008 00318லத் 00646ி017034 .
174,00001 00647த் 00580ான 0125 00574கள000 00001த்த்0008 00648ே 00641ி 00146 00122012 00345 00165ியத்0112 00166014006 .
175,0074 00305000 வாஷிடங்டன் போஸ்ட் 00147 00013்0220004 .
176,00001 00649 0123 00584 001220120136 00435 00650 00020000த் 00178த்ததற்02501270160 00574கள் 01151ும் 00641ி 00041ப் 00007்டத் 0110 00284ப் 00007014006 .
177,00430 00512 0046 00651 006520138 0062 00147 00643ய008 00013ப்படவ்0101 .
178,"00653 இரண்டரை 00244 00654 0116 00584 00122012 01151ும் 00146 00122012ின் 00369்ட008 00153க்கப்0088002901270138 , 00655த்த்01070158 , 00146 00584 0012201201070158 00228வதற்001 00574012001 00099 00129ப்படவ்0101 01210138 0072 00643 00284014006 ."
179,அவர்கள005 0129 006560138 00100லை 00287கிற 00030001 00074ந்த 0096 00574கள000 00146 00122012 00381த்தத்01270138 00166014006 .
180,"00657ச் 00658த்த000ய்0043 , 00660த்த000 00661 00031006 00114ி044 , 00015 00058ம் 0150 00574012001 பாகிஸ்தான் 00584 00662்0220004 ."
181,00574கள் 00226 பாகிஸ்தான் 00058031036 0124 00166014006 .
182,00663007 00677 00443த்த008 மாவோயிஸ்டு0120107 00664ந்த 00665 00666ய008 போலீஸ் 00122 00435 00338019029 .
183,00126 00667 00668ந்தனர் .
